feature,importance
captures_per_move,0.13548030390455054
prophylactic_moves,0.12213265309811283
positional_sacrifices,0.07498979257361521
retreat_moves,0.06284892680142172
trades_when_losing,0.055191708232410534
checks_per_move,0.05211113752207518
counterattacks,0.05026666337872804
accuracy,0.049475403280707764
blunders,0.04793757823340658
total_moves,0.04604633832357691
defensive_moves,0.04221602035983332
early_attacks,0.0403388587320603
avg_centipawn_loss,0.03567305629467777
simplifications,0.03180923641137244
best_moves_found,0.03052441639259547
sacrifices,0.027764964712933753
captures_made,0.02753840680941826
material_sacrifices,0.027125447253715868
checks_given,0.019657254265510172
passive_moves,0.011344131562984174
complex_positions,0.005094245947772715
king_safety_risks,0.002450076756070727
tactical_shots,0.0019833791524498665
