feature,importance
counterattacks,0.14437117
positional_sacrifices,0.14337939
prophylactic_moves,0.095685124
captures_per_move,0.075680286
early_attacks,0.05744319
material_sacrifices,0.050431933
defensive_moves,0.04398603
retreat_moves,0.04395394
blunders,0.043860104
trades_when_losing,0.04093544
sacrifices,0.04030201
checks_per_move,0.038209688
total_moves,0.030965177
accuracy,0.03073803
simplifications,0.025803788
captures_made,0.025179265
best_moves_found,0.013579282
passive_moves,0.012836182
tactical_shots,0.011160732
checks_given,0.011144638
avg_centipawn_loss,0.008386179
complex_positions,0.006666764
king_safety_risks,0.005301589
